instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|IN1920230118,20477,772KA35A,SDL KA 7.72% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230191,21281,772KA37,SDL KA 7.72% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220171,14367,772MH31,SDL MH 7.72% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220239,14639,772MH32,SDL MH 7.72% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220072,9724,772MH34,SDL MH 7.72% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220230170,21271,772MH35,SDL MH 7.72% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2420230046,19517,772ML31,SDL ML 7.72% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2320220014,9718,772MN32,SDL MN 7.72% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120220057,13977,772MP38,SDL MP 7.72% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520230060,19539,772MZ38,SDL MZ 7.72% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230298,19912,772RJ33,SDL RJ 7.72% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220026,9725,772RJ35,SDL RJ 7.72% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE812V08052,25078,772TIL34,THDC 7.72% 2034 SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120230286,19618,772TN33,SDL TN 7.72% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120230369,21269,772TN34,SDL TN 7.72% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520230298,19609,772TS35,SDL TS 7.72% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520230322,19902,772TS36,SDL TS 7.72% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220430,14452,772TS46,SDL TS 7.72% 2046,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230144,19900,772UP34,SDL UP 7.72% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220087,13973,772UP36,SDL UP 7.72% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420230150,20399,772WB37,SDL WB 7.72% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220136,11295,772WB38,SDL WB 7.72% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220746,14640,773AP32,SDL AP 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230638,20391,773AP32A,SDL AP 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320220099,11598,773BR32,SDL BR 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320220222,14534,773BR33,SDL BR 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230114,19904,773BR38,SDL BR 7.73% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230155,21167,773BR39,SDL BR 7.73% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230163,21539,773BR39A,SDL BR 7.73% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520230076,19746,773CG31,SDL CG 7.73% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420230147,19717,773GA33,SDL GA 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520200016,21049,773GJ29,SDL GJ 7.73% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520220089,10648,773GJ32,SDL GJ 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520220329,14652,773GJ36,SDL GJ 7.73% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN0020150051,7127,773GS2034,GOI LOAN 7.73% 2034,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1620220435,14369,773HR32,SDL HR 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220054,9441,773HR33,SDL HR 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230084,20350,773KA34,SDL KA 7.73% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230043,19721,773KA35,SDL KA 7.73% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230175,21163,773KA35A,SDL KA 7.73% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230050,19723,773KA36,SDL KA 7.73% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230233,21818,773KA41,SDL KA 7.73% 2041,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QP9,23248,773LIC34,LHFL 7.73% 2034 TR 439,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2220220254,14819,773MH32,SDL MH 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220247,14645,773MH34,SDL MH 7.73% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220230188,21273,773MH36,SDL MH 7.73% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2320230070,19611,773MN35,SDL MN 7.73% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520230086,21872,773MZ39,SDL MZ 7.73% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230256,19716,773RJ33,SDL RJ 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220265,13979,773RJ38,SDL RJ 7.73% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220422,14436,773TS34,SDL TS 7.73% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520230330,20189,773TS40,SDL TS 7.73% 2040,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220145,14538,773UP33,SDL UP 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230136,19891,773UP33A,SDL UP 7.73% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230151,20179,773UP34,SDL UP 7.73% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230169,20180,773UP35,SDL UP 7.73% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220011,9719,773WB32,SDL WB 7.73% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220399,10647,774AP31,SDL AP 7.74% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220688,14373,774AP32,SDL AP 7.74% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230679,21153,774AP32A,SDL AP 7.74% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230554,19724,774AP36,SDL AP 7.74% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230687,21164,774AP36A,SDL AP 7.74% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220431,10719,774AP38,SDL AP 7.74% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220548,11417,774AP42,SDL AP 7.74% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220230131,19892,774AS33,SDL AS 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220230149,20476,774AS33A,SDL AS 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230130,20401,774BR38,SDL BR 7.74% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230171,21877,774BR39,SDL BR 7.74% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520230084,20342,774CG31,SDL CG 7.74% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420220056,11597,774GA32,SDL GA 7.74% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720230078,20184,774HP38,SDL HP 7.74% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220245,11676,774HR29,SDL HR 7.74% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220476,14814,774HR31,SDL HR 7.74% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220062,9444,774HR35,SDL HR 7.74% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE202E07229,20030,774IREDA31,7.74% TAX FREE NCD,1154.15,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN4920230161,20365,774JK43,SDL JK 7.74% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230167,21155,774KA34,SDL KA 7.74% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230183,21274,774KA36,SDL KA 7.74% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920220036,12311,774KA37,SDL KA 7.74% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QW5,25047,774LIC28,LIC 7.74% 2028 TR 445,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2220220189,14378,774MH33,SDL MH 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120220131,14656,774MP43,SDL MP 7.74% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520220046,10540,774MZ33,SDL MZ 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520220111,14558,774MZ38,SDL MZ 7.74% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820220225,14653,774PN39,SDL PN 7.74% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230322,20347,774RJ33,SDL RJ 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230355,20394,774RJ33A,SDL RJ 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230371,21156,774RJ34,SDL RJ 7.74% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230264,19728,774RJ39,SDL RJ 7.74% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220323,14654,774RJ40,SDL RJ 7.74% 2040,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220182,11418,774RJ42,SDL RJ 7.74% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220331,14663,774RJ49,SDL RJ 7.74% 2049,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520230355,20352,774TS35,SDL TS 7.74% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220125,10783,774TS45,SDL TS 7.74% 2045,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220133,10784,774TS46,SDL TS 7.74% 2046,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220463,14660,774TS48,SDL TS 7.74% 2048,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3620220050,14376,774UK33,SDL UK 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220152,14554,774UP37,SDL UP 7.74% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220144,11607,774WB39,SDL WB 7.74% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220284,14655,774WB41,SDL WB 7.74% 2041,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220292,14658,774WB43,SDL WB 7.74% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220563,11760,775AP29,SDL AP 7.75% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520220010,14816,775CG31,SDL CG 7.75% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420230188,20348,775GA33,SDL GA 7.75% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520220105,11400,775GJ32,SDL GJ 7.75% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720220228,14818,775HP32,SDL HP 7.75% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620230269,19722,775HR35,SDL HR 7.75% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620230301,20353,775HR35A,SDL HR 7.75% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QU9,24942,775LICH29,LICH 7.75% 2029 SR 444,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2620220086,14821,775NL33,SDL NL 7.75% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230174,19486,775PN36,SDL PN 7.75% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820220076,10782,775PN42,SDL PN 7.75% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230330,20354,775RJ35,SDL RJ 7.75% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920230306,19903,775RJ36,SDL RJ 7.75% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE556F08KN9,21741,775SIDBI27,SIDBI 7.75% 2027 SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3020220064,14822,775SK33,SDL SK 7.75% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3020230030,19483,775SK33A,SDL SK 7.75% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120200016,22104,775TN30,SDL TN 7.75% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220113,10651,775TN32,SDL TN 7.75% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520230306,19725,775TS37,SDL TS 7.75% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230193,20349,775UP33,SDL UP 7.75% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320230201,20351,775UP34,SDL UP 7.75% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220129,14441,775UP35,SDL UP 7.75% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220137,14442,775UP38,SDL UP 7.75% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220268,14446,775WB39,SDL WB 7.75% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220076,9438,776AP32,SDL AP 7.76% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230562,19726,776AP37,SDL AP 7.76% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE171A08057,27094,776FEDB34,FEDB 7.76% 2034 SR 1,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720220012,10235,776HP30,SDL HP 7.76% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720220210,14641,776HP33,SDL HP 7.76% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220260,11867,776HR30,SDL HR 7.76% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020230206,21272,776KL35,SDL KL 7.76% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020220033,10773,776KL38,SDL KL 7.76% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020220199,14855,776KL51,SDL KL 7.76% 2051,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020220207,14861,776KL58,SDL KL 7.76% 2058,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220122,11390,776MH30,SDL MH 7.76% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2320220089,14379,776MN35,SDL MN 7.76% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120230122,19727,776MP37,SDL MP 7.76% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120230130,20357,776MP37A,SDL MP 7.76% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820220027,9449,776PN37,SDL PN 7.76% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE812V08045,23892,776TIL34,THDC 7.76% 2034 SR X,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220386,14860,776TN53,SDL TN 7.76% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3620220068,14820,776UK33,SDL UK 7.76% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230612,20355,777AP35,SDL AP 7.77% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220704,14341,777AP40,SDL AP 7.77% 2040,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520220014,9771,777GJ31,SDL GJ 7.77% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1520220063,10459,777GJ32,SDL GJ 7.77% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220179,10652,777HR32,SDL HR 7.77% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220484,14825,777HR33,SDL HR 7.77% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620230343,21276,777HR36,SDL HR 7.77% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE202E08151,21308,777IREDA27,IREDA 7.77% 2027 SR XV D,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN4920220113,14437,777JK35,SDL JK 7.77% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4920220055,11604,777JK37,SDL JK 7.77% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2320230088,20361,777MN38,SDL MN 7.77% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120220107,14451,777MP43,SDL MP 7.77% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120220149,14850,777MP47,SDL MP 7.77% 2047,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230182,19720,777PN33,SDL PN 7.77% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230216,20397,777PN36,SDL PN 7.77% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220141,10638,777RJ32,SDL RJ 7.77% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220315,14642,777RJ33,SDL RJ 7.77% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220084,9450,778AP41,SDL AP 7.78% 2041,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220092,9451,778AP42,SDL AP 7.78% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220230172,21270,778AS34,SDL AS 7.78% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230106,19747,778BR31,SDL BR 7.78% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220190143,21933,778MH29,SDL MH 7.78% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220148,11678,778MH30,SDL MH 7.78% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2420220021,10330,778ML31,SDL ML 7.78% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520220061,11401,778MZ32,SDL MZ 7.78% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2520220053,11294,778MZ37,SDL MZ 7.78% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FV0,23063,778NHB27,NHB 7.78% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2620230069,20395,778NL33,SDL NL 7.78% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230224,21165,778PN37,SDL PN 7.78% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3820230016,21277,778PY36,SDL PY 7.78% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220349,14824,778RJ33,SDL RJ 7.78% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4520220455,14647,778TS34,SDL TS 7.78% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220160,14649,778UP35,SDL UP 7.78% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220178,14651,778UP36,SDL UP 7.78% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE498L07087,25939,7798LTFH29,LTFH 7.798% 2029 SR F,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1020220357,10458,779AP31,SDL AP 7.79% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720220236,14839,779HP38,SDL HP 7.79% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN4920220121,14650,779JK35,SDL JK 7.79% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FW8,23538,779NHB27,NHB 7.79% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2820230190,20356,779PN36,SDL PN 7.79% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230208,20360,779PN37,SDL PN 7.79% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820230232,21166,779PN38,SDL PN 7.79% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920220174,11404,779RJ32,SDL RJ 7.79% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE556F08KM1,20843,779SIDBI27,SIDBI 7.79% 2027 SR VI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220170,11405,779TN32,SDL TN 7.79% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3320220186,14829,779UP33,SDL UP 7.79% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420230127,19905,779WB40,SDL WB 7.79% 2040,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3420220276,14447,779WB42,SDL WB 7.79% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220696,14359,77AP28,SDL AP 7.7% 2028,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220720,14421,77AP29,SDL AP 7.7% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230620,20390,77AP29A,SDL AP 7.7% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220662,14268,77AP30,SDL AP 7.7% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020220738,14636,77AP30A,SDL AP 7.7% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230026,14958,77AP32,SDL AP 7.7% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230661,20482,77AP38,SDL AP 7.7% 2038,102,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230745,21825,77AP42,SDL AP 7.7% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230588,19730,77AP43,SDL AP 7.7% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1020230695,21168,77AP43A,SDL AP 7.7% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230098,19522,77BR31,SDL BR 7.7% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320220131,12300,77BR32,SDL BR 7.7% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320230122,20226,77BR38,SDL BR 7.7% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420230121,19481,77GA33,SDL GA 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420230154,19910,77GA33A,SDL GA 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1420230162,20171,77GA33B,SDL GA 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720220160,13896,77HP36,SDL HP 7.7% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720220178,13901,77HP38,SDL HP 7.7% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220419,14159,77HR31,SDL HR 7.7% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220443,14532,77HR32,SDL HR 7.7% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1620220286,12303,77HR34,SDL HR 7.7% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE219X07215,3428,77IGT28,SEC RE NCD 7.70% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN4920220089,13392,77JK37,SDL JK 7.7% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230068,19909,77KA33,SDL KA 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920230035,19606,77KA34,SDL KA 7.7% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020220074,11424,77KL47,SDL KL 7.7% 2047,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220130,11590,77MH30,SDL MH 7.7% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220197,14424,77MH31,SDL MH 7.7% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220220205,14425,77MH33,SDL MH 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220230154,20172,77MH33A,SDL MH 7.7% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2220230147,19899,77MH34,SDL MH 7.7% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
